bird_id,sex,age,distance_trav_km,std_dist_km,95%_HR_km2,50%_core_km2,%_urban_HR,%_urban_core,%_closed_HR,%_closed_core,%_open_HR,%_open_core,mean_elev_HR_m,mean_elev_core_m,elev_range_HR_km,elev_range_core_km,prop_low_HR,prop_low_core,region,arrival_date,winter_duration_days,gps_fixes,winter,start_dd,start_mm,start_yyyy,end_dd,end_mm,end_yyyy
AUKI42-B,M,first,1581.6,1.846337898,462.3,101.6,4.1,3.8,7.1,7,88.8,89.2,136,97.6,1.021,0.366,95.1,100,italy,a_early,171,959,2017/2018,10,10,2017,30,3,2018
AUKO24,F,older,1419.6,0.677892612,448.8,95.1,0.2,0,60,59.9,39.9,40.1,343.1,342.1,0.612,0.312,96.5,98.7,iberia,b_normal,104,674,2018/2019,20,11,2018,3,3,2019
AUKI34-C,M,first,2768.7,3.232141969,388.4,130.6,0.5,0.2,53.8,63.7,45.7,36.1,245,257.5,0.607,0.579,98.5,99.2,italy,a_early,168,986,2018/2019,13,10,2018,29,3,2019
AUKI35-C,M,older,3581.5,1.710251049,369,38.7,1.4,0.6,1.9,1.4,96.8,98,681.2,661.1,0.241,0.108,0,0,iberia,b_normal,113,528,2019/2020,19,11,2019,10,3,2020
AUKO29,M,older,913,0.652038065,332.2,79.8,2.1,1.2,9.5,3.6,88.4,95.2,173.2,164.2,0.154,0.115,100,100,pyrenees,b_normal,80,409,2018/2019,29,11,2018,16,2,2019
AUKI21,M,first,1722.5,1.230159439,295.6,82.9,7.1,4.6,15.6,3.7,77.4,91.7,310.4,295.8,0.252,0.127,100,100,pyrenees,b_normal,126,747,2016/2017,4,11,2016,9,3,2017
AUKI03,F,older,1185.6,1.384052992,275.1,52.5,1.5,2.1,65.3,65.6,65.3,65.6,697.5,814,1.283,0.982,30.7,10.9,italy,b_normal,103,496,2016/2017,20,11,2016,2,3,2017
KITE04,F,first,2006.6,1.433055402,242.4,60.3,2.8,0,33,31.9,64.1,68.1,442.5,492.6,0.493,0.342,71.3,59.9,pyrenees,b_normal,142,1148,2015/2016,10,11,2015,30,3,2016
KITE04,F,older,910.2,0.650038387,160.8,29.5,2.3,5.7,14.8,2.1,82.8,92.3,331,263.5,0.379,0.126,91.2,100,pyrenees,b_normal,129,521,2016/2017,31,10,2016,8,3,2017
AUKO57,F,older,913.9,1.066874181,155.2,34.7,0.8,1,42.4,34.2,56.9,64.8,667.2,659.2,0.828,0.73,21.6,22.2,italy,b_normal,101,357,2018/2019,22,11,2018,2,3,2019
AUKI40-B,F,older,1273.6,1.486782971,148.3,39.7,1.1,1.7,17.5,6.6,81.4,91.7,410.9,464,0.661,0.594,71.7,63.7,italy,b_normal,113,747,2019/2020,11,11,2019,3,3,2020
AUKO24,F,older,1305.8,0.623550417,130.2,40.8,0,0,60.8,60.7,39.2,39.3,338.5,339,0.328,0.119,99,100,iberia,b_normal,85,491,2019/2020,22,11,2019,14,2,2020
AUKO30,F,older,1192.6,0.569494737,108.3,43.8,4.6,4,33.3,35.7,62,60.2,1139.1,1142.8,0.219,0.169,0,0,iberia,c_late,78,457,2019/2020,12,12,2019,27,2,2020
AUKI89,F,older,1913.6,0.913789308,75.4,29.1,10.2,9.7,10,7.5,79.9,82.8,588.8,579.5,0.173,0.124,0,0,iberia,a_early,165,2702,2018/2019,10,10,2018,23,3,2019
AUKI40-B,F,older,1558.5,1.819371279,61.4,21.1,0.8,1.8,18.1,4.5,81.1,93.7,398.8,468.7,0.644,0.603,75.9,61.6,italy,b_normal,148,912,2018/2019,17,10,2018,13,3,2019
AUKI51,M,first,450.3,0.321591173,53.3,11.5,6.9,12.5,37.9,19.3,55.2,68.3,442.9,399.1,0.294,0.145,86.4,100,pyrenees,c_late,72,427,2017/2018,5,12,2017,14,2,2018
AUKI40-B,F,first,1844.1,2.152776756,53,10.9,0.7,1,15,1.5,84.3,97.5,400.4,486.7,0.65,0.494,75,54.6,italy,b_normal,190,1158,2017/2018,23,10,2017,30,4,2018
KITE04,F,older,823.6,0.588191184,52.4,10.5,3.4,0.1,8.8,3.6,87.9,96.3,285.5,253.5,0.26,0.094,100,100,pyrenees,b_normal,121,496,2017/2018,25,10,2017,22,2,2018
AUKI89,F,older,740.5,0.353606283,1.7,0.4,19.4,6.8,2.9,0,77.7,93.2,550,545.6,0.048,0.029,0,0,iberia,a_early,144,2251,2019/2020,12,10,2019,3,3,2020
